"id","name","abbr","country_id"
"1","Москва","RU-MOW","168"
"2","Санкт-Петербург","RU-SPE","168"
"3","Республика Адыгея","RU-AD","168"
"4","Республика Башкортостан","RU-BA","168"
"5","Республика Бурятия","RU-BU","168"
"6","Республика Алтай","RU-AL","168"
"7","Республика Дагестан","RU-DA","168"
"8","Республика Ингушетия","RU-IN","168"
"9","Кабардино-Балкарская республика","RU-KB","168"
"10","Республика Калмыкия","RU-KL","168"
"11","Карачаево-Черкесская республика","RU-KC","168"
"12","Республика Карелия","RU-KR","168"
"13","Республика Коми","RU-KO","168"
"14","Республика Марий Эл","RU-ME","168"
"15","Республика Мордовия","RU-MO","168"
"16","Республика Саха (Якутия)","RU-SA","168"
"17","Республика Северная Осетия — Алания","RU-SE","168"
"18","Республика Татарстан","RU-TA","168"
"19","Республика Тыва","RU-TY","168"
"20","Удмуртская республика","RU-UD","168"
"21","Республика Хакасия","RU-KK","168"
"22","Чеченская республика","RU-CE","168"
"23","Чувашская республика","RU-CU","168"
"24","Алтайский край","RU-ALT","168"
"25","Краснодарский край","RU-KDA","168"
"26","Красноярский край","RU-KIA","168"
"27","Приморский край","RU-PRI","168"
"28","Ставропольский край","RU-STA","168"
"29","Хабаровский край","RU-KHA","168"
"30","Амурская область","RU-AMU","168"
"31","Архангельская область","RU-ARK","168"
"32","Астраханская область","RU-AST","168"
"33","Белгородская область","RU-BEL","168"
"34","Брянская область","RU-BRY","168"
"35","Владимирская область","RU-VLA","168"
"36","Волгоградская область","RU-VGG","168"
"37","Вологодская область","RU-VLG","168"
"38","Воронежская область","RU-VOR","168"
"39","Ивановская область","RU-IVA","168"
"40","Иркутская область","RU-IRK","168"
"41","Калининградская область","RU-KGD","168"
"42","Калужская область","RU-KLU","168"
"43","Камчатский край","RU-KAM","168"
"44","Кемеровская область","RU-KEM","168"
"45","Кировская область","RU-KIR","168"
"46","Костромская область","RU-KOS","168"
"47","Курганская область","RU-KGN","168"
"48","Курская область","RU-KRS","168"
"49","Ленинградская область","RU-LEN","168"
"50","Липецкая область","RU-LIP","168"
"51","Магаданская область","RU-MAG","168"
"52","Московская область","RU-MOS","168"
"53","Мурманская область","RU-MUR","168"
"54","Нижегородская область","RU-NIZ","168"
"55","Новгородская область","RU-NGR","168"
"56","Новосибирская область","RU-NVS","168"
"57","Омская область","RU-OMS","168"
"58","Оренбургская область","RU-ORE","168"
"59","Орловская область","RU-ORL","168"
"60","Пензенская область","RU-PNZ","168"
"61","Пермский край","RU-PER","168"
"62","Псковская область","RU-PSK","168"
"63","Ростовская область","RU-ROS","168"
"64","Рязанская область","RU-RYA","168"
"65","Самарская область","RU-SAM","168"
"66","Саратовская область","RU-SAR","168"
"67","Сахалинская область","RU-SAK","168"
"68","Свердловская область","RU-SVE","168"
"69","Смоленская область","RU-SMO","168"
"70","Тамбовская область","RU-TAM","168"
"71","Тверская область","RU-TVE","168"
"72","Томская область","RU-TOM","168"
"73","Тульская область","RU-TUL","168"
"74","Тюменская область","RU-TYU","168"
"75","Ульяновская область","RU-ULY","168"
"76","Челябинская область","RU-CHE","168"
"77","Забайкальский край","RU-ZAB","168"
"78","Ярославская область","RU-YAR","168"
"79","Еврейская автономная область","RU-YEV","168"
"80","Ненецкий автономный округ","RU-NEN","168"
"81","Ханты-Мансийский автономный округ - Югра","RU-KHM","168"
"82","Чукотский автономный округ","RU-CHU","168"
"83","Ямало-Ненецкий автономный округ","RU-YAN","168"
